labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok
newsua.tsv	52	0	8	446	69	17	0	19.804597701149426	143	3	99	0	0	0	3	8	1	1	21	87	24	103	61	17	42	137	109	87	57	130	10	8	10	15	2	28	12	34	9	26	0	1723
newsua.tsv	21	0	1	109	25	0	0	17.966666666666665	67	0	26	0	0	0	1	4	0	0	9	8	4	17	12	8	3	23	43	6	26	11	1	2	0	6	0	19	3	13	5	17	0	539
newsua.tsv	52	0	7	219	64	16	2	15.417582417582418	148	3	69	0	0	0	1	16	5	2	20	22	10	21	78	17	43	52	108	22	87	68	4	2	14	6	1	22	12	31	8	20	0	1403
newsua.tsv	10	0	0	46	0	0	0	19.11111111111111	5	2	9	0	0	0	0	1	0	0	2	2	0	1	2	2	2	4	7	2	7	10	0	1	0	0	0	1	1	2	0	2	0	172
newsua.tsv	8	0	1	38	6	4	0	18.176470588235293	31	0	19	0	0	0	0	4	0	1	8	9	4	2	18	3	12	6	26	5	15	2	6	2	5	0	0	5	4	7	3	4	0	309
newsua.tsv	16	0	3	76	47	12	0	15.9	104	1	46	0	0	0	1	10	1	2	9	28	10	30	17	7	12	40	30	33	29	26	0	4	9	2	1	8	5	11	1	11	1	636
newsua.tsv	11	0	0	54	18	2	1	21.176470588235293	18	0	21	0	0	0	0	1	0	1	12	7	6	2	23	3	13	8	32	8	29	21	2	1	0	3	0	4	1	5	1	2	1	360
newsua.tsv	9	0	1	69	40	13	0	15.613636363636363	56	3	36	0	0	0	1	3	4	3	11	15	8	9	23	11	27	39	56	17	24	23	4	5	4	11	0	13	7	12	4	8	0	687
newsua.tsv	1	0	0	26	10	0	0	10.214285714285714	12	0	6	0	0	0	0	3	0	0	4	7	2	7	2	10	0	19	7	3	0	3	0	0	1	1	0	2	2	4	0	3	0	143
newsua.tsv	4	0	0	37	4	0	1	13.25	10	0	11	0	0	0	0	4	0	0	2	11	4	10	6	21	1	30	6	9	5	9	0	0	0	0	0	2	1	3	0	4	0	159
newsua.tsv	13	0	0	65	8	0	0	15.571428571428571	7	2	11	0	0	0	0	2	0	0	1	16	11	15	9	22	2	38	7	7	7	9	0	1	1	3	0	2	3	6	0	4	0	218
newsua.tsv	2	0	0	49	6	0	0	13.333333333333334	7	0	5	0	0	0	0	1	0	0	4	12	2	11	6	14	0	21	7	7	8	7	0	0	0	3	0	3	1	1	0	2	0	160
newsua.tsv	16	0	8	187	27	31	0	17.28787878787879	41	1	12	3	0	0	0	8	2	1	4	11	2	4	26	4	19	7	24	7	24	38	0	0	0	0	0	2	8	8	0	10	0	1141
newsua.tsv	6	0	7	253	46	26	0	15.793103448275861	121	1	84	0	0	0	0	11	0	3	48	43	10	47	47	8	28	77	98	47	97	52	9	7	15	4	1	27	10	37	4	25	13	1374
newsua.tsv	14	0	5	174	43	12	0	18.583333333333332	118	2	60	0	0	0	2	9	0	5	14	59	14	43	45	13	16	67	73	30	34	56	2	6	10	6	0	19	3	22	4	8	0	892
newsua.tsv	10	2	3	74	20	2	0	22.692307692307693	30	2	32	0	0	0	0	2	0	0	7	7	6	8	13	5	3	19	34	8	13	24	4	0	5	7	0	9	0	8	2	4	1	590
newsua.tsv	5	0	3	263	55	28	0	19.7	151	4	90	0	0	0	1	10	0	2	45	84	42	73	89	17	72	110	142	82	100	98	18	7	10	20	1	19	13	37	4	29	0	1576
newsua.tsv	21	0	3	115	14	5	0	19.161290322580644	15	0	11	0	0	0	0	3	0	0	2	3	1	2	2	3	0	5	1	2	2	17	0	2	4	0	0	2	4	5	0	10	0	594
newsua.tsv	62	0	2	181	34	12	0	22.727272727272727	98	2	45	0	2	0	0	5	2	2	22	29	14	34	36	10	19	59	78	29	52	75	2	0	8	2	0	14	4	21	2	15	0	1000
newsua.tsv	37	0	2	296	48	16	2	15.44578313253012	110	4	67	0	2	0	5	8	0	2	18	55	13	43	31	30	13	91	108	30	67	74	3	3	10	14	0	25	12	20	2	12	1	1282
newsua.tsv	47	0	7	286	59	8	1	16.27027027027027	153	5	93	0	0	0	0	19	0	3	34	72	41	50	89	28	40	97	143	44	95	137	1	3	15	3	0	27	18	32	25	13	3	1806
newsua.tsv	0	0	2	107	13	12	1	22.09090909090909	36	0	9	1	0	0	1	9	0	5	3	4	0	1	3	2	2	5	7	3	10	26	0	0	0	1	0	1	8	6	0	3	0	729
newsua.tsv	8	0	2	128	31	6	0	19.46875	51	0	40	0	0	0	0	6	0	4	25	27	3	15	31	7	14	39	50	20	40	31	1	3	8	6	0	14	10	27	5	10	0	623
newsua.tsv	4	0	1	108	43	12	0	21.658536585365855	132	2	69	1	0	0	0	4	0	10	24	31	8	31	34	12	16	44	55	24	34	66	2	5	18	6	0	26	13	29	7	19	2	888
newsua.tsv	0	0	4	183	36	11	0	19.459016393442624	12	1	20	3	0	0	1	16	0	1	6	8	0	6	5	5	6	8	16	6	17	59	1	2	0	4	0	2	6	4	3	9	0	1187
newsua.tsv	18	1	2	181	19	5	0	28.258064516129032	16	0	7	3	0	0	0	2	2	0	2	5	0	4	8	2	7	7	15	3	13	29	0	0	1	1	0	1	6	4	0	10	0	876
newsua.tsv	25	0	6	199	57	14	3	21.735849056603772	130	1	64	4	0	0	1	6	0	1	26	43	11	18	58	17	36	63	94	42	99	63	6	7	20	4	2	30	14	30	6	15	1	1152
newsua.tsv	20	0	7	255	44	30	1	20.96808510638298	290	6	105	4	0	0	8	30	0	0	58	87	50	69	71	44	49	113	136	65	109	84	26	8	13	10	3	59	64	64	20	27	8	1971
newsua.tsv	0	0	0	26	0	0	1	18.142857142857142	5	0	8	0	0	0	0	1	0	0	3	7	1	5	4	3	3	7	8	3	9	2	2	0	0	0	0	1	0	3	2	1	0	127
newsua.tsv	5	0	2	142	25	8	1	18.62	82	5	52	1	0	0	0	10	0	1	14	28	15	34	37	13	18	35	66	20	45	32	15	3	4	5	0	16	8	23	7	21	1	931
newsua.tsv	0	0	2	46	9	4	0	11.75	13	0	12	0	0	0	0	2	0	0	5	4	1	2	4	4	2	7	6	3	5	2	0	0	0	0	0	2	0	1	0	3	0	188
newsua.tsv	0	0	0	20	9	0	0	12.090909090909092	3	0	7	0	0	0	0	1	0	0	1	2	0	1	2	2	0	2	1	2	0	1	0	0	0	0	0	1	0	1	0	1	0	133
newsua.tsv	0	0	0	9	11	0	0	3.7714285714285714	3	0	4	0	0	0	0	1	0	0	5	2	0	1	3	5	1	5	3	4	4	2	0	0	0	0	0	1	0	1	0	5	0	132
newsua.tsv	0	0	0	27	24	0	0	17.416666666666668	4	0	9	0	0	0	0	1	0	0	1	2	0	1	1	4	1	4	2	2	1	2	0	0	0	0	0	1	0	1	0	2	0	209
