labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok
hromadske.tsv	10	0	0	43	8	1	1	20.272727272727273	13	1	18	0	0	0	0	1	0	2	2	3	3	3	8	2	3	6	26	1	17	11	2	0	3	0	0	5	2	5	0	5	0	223
hromadske.tsv	3	0	3	94	28	50	0	8.14516129032258	251	14	62	0	0	0	26	68	0	13	40	23	13	18	24	13	18	33	64	25	33	22	6	3	3	12	0	28	17	39	4	19	1	1010
hromadske.tsv	4	0	0	47	7	0	0	15.333333333333334	10	0	5	0	0	0	0	1	0	0	0	10	2	9	4	2	1	11	11	4	12	12	0	0	0	0	0	1	1	5	0	0	0	184
hromadske.tsv	73	0	0	208	35	5	0	17.70149253731343	74	2	80	0	0	0	1	14	0	0	23	31	20	29	44	8	15	53	115	24	61	75	21	2	7	12	0	17	12	36	3	9	1	1186
hromadske.tsv	68	0	4	115	42	12	0	16.849056603773583	77	6	54	0	0	0	0	8	0	0	16	36	14	35	41	18	24	56	71	27	46	41	6	0	20	3	0	8	7	19	3	4	0	893
hromadske.tsv	186	0	21	1815	266	99	3	14.435275080906148	663	18	413	0	1	0	10	83	6	16	105	652	131	695	434	616	211	1371	759	556	527	470	28	12	24	43	0	101	74	141	25	65	8	8921
hromadske.tsv	4	0	0	40	5	0	0	13.666666666666666	9	0	4	0	0	0	0	0	0	0	0	13	2	10	3	3	1	12	10	5	11	10	0	0	0	0	0	1	0	2	0	0	0	164
hromadske.tsv	7	0	5	113	51	35	0	12.075949367088608	127	0	52	0	0	0	2	29	0	5	24	45	10	37	34	9	20	51	52	43	36	11	6	0	3	4	0	12	7	20	3	10	0	954
hromadske.tsv	13	0	7	115	41	19	0	11.26530612244898	209	3	70	0	0	0	15	49	0	7	29	44	9	33	30	4	28	54	79	27	42	30	4	1	4	17	0	20	13	29	9	16	1	1104
hromadske.tsv	20	0	0	74	61	18	0	10.102272727272727	97	11	43	0	0	0	1	16	0	0	33	29	11	30	40	15	11	52	31	19	25	26	6	3	2	2	0	7	5	20	4	11	1	889
hromadske.tsv	12	0	0	85	22	2	1	16.55	64	1	42	0	0	0	0	5	0	2	5	23	3	16	24	6	4	34	30	11	22	34	1	1	1	1	0	16	7	16	9	7	0	662
hromadske.tsv	14	0	4	258	50	24	0	12.375	175	3	82	1	0	0	1	31	0	0	49	77	23	70	52	14	22	103	95	60	62	105	0	7	7	16	0	22	24	33	2	25	7	1287
hromadske.tsv	82	0	7	354	91	32	1	16.19685039370079	146	9	117	2	0	0	2	17	14	9	39	108	24	89	71	34	21	148	135	86	105	57	3	9	16	11	0	22	16	55	11	23	2	2057
hromadske.tsv	39	0	4	239	51	25	0	19.704225352112676	139	9	86	0	1	0	2	14	2	7	35	89	11	97	47	12	21	111	102	82	67	64	8	9	8	3	0	29	10	47	8	21	5	1399
hromadske.tsv	11	0	3	75	21	19	0	9.884615384615385	72	2	43	0	0	0	15	16	0	3	18	9	9	2	8	3	14	10	30	3	18	44	2	0	10	6	0	12	6	13	6	6	1	514
hromadske.tsv	41	0	2	184	26	8	0	17.314814814814813	101	0	48	0	0	0	0	7	0	4	12	37	14	32	60	9	36	47	65	28	41	47	0	2	7	4	0	25	3	8	4	6	2	935
hromadske.tsv	4	0	1	14	3	2	0	12.285714285714286	5	0	1	0	0	0	0	1	0	0	1	1	1	2	1	1	0	2	1	1	1	1	0	0	0	1	0	0	1	1	1	2	0	86
hromadske.tsv	3	0	0	21	4	3	0	18.125	31	1	7	0	0	0	3	6	0	0	2	3	1	4	4	2	3	6	7	3	6	4	1	0	1	0	0	4	1	5	0	2	1	145
hromadske.tsv	7	0	0	24	3	2	0	18.11111111111111	18	0	12	0	0	0	0	1	0	0	0	8	3	6	11	2	4	10	9	3	11	0	0	1	0	0	0	2	3	4	1	1	0	163
hromadske.tsv	4	0	0	31	6	0	0	12.692307692307692	4	0	7	0	0	0	1	2	0	0	0	12	3	8	5	3	3	9	16	4	12	9	0	0	0	0	0	2	1	4	0	0	0	165
hromadske.tsv	50	0	1	156	51	22	2	16.023809523809526	144	4	63	0	0	0	0	29	0	3	20	46	11	45	38	35	12	93	48	74	30	62	6	9	16	10	0	28	7	21	7	28	0	1346
hromadske.tsv	108	0	10	325	97	41	1	14.539267015706807	356	12	152	0	0	0	33	91	0	10	63	164	27	110	115	53	37	188	157	127	132	112	9	25	38	26	2	41	15	56	22	39	5	2777
hromadske.tsv	48	0	4	101	30	12	3	16.857142857142858	56	0	34	0	0	0	1	4	0	1	9	48	2	31	29	16	5	71	42	45	23	27	5	2	4	3	4	15	12	13	1	12	0	708
hromadske.tsv	3	0	0	96	8	2	0	13.956521739130435	12	0	12	0	0	0	0	1	0	0	0	29	4	23	11	28	4	48	21	9	18	32	0	0	0	3	0	0	2	6	0	2	0	321
hromadske.tsv	2	0	0	24	3	0	0	15	19	0	6	0	0	0	1	2	0	0	0	4	0	1	3	0	3	3	14	2	9	0	1	0	0	0	0	1	2	1	0	1	0	120
hromadske.tsv	84	0	11	245	82	40	3	14.584507042253522	179	4	119	0	0	0	2	17	1	10	59	40	17	56	77	17	33	84	184	41	157	100	18	5	37	0	2	23	20	49	9	20	4	2071
