labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok
n	14	0	1	53	31	2	1	25.903225806451612	125	13	36	2	1	0	1	16	0	5	43	24	8	18	20	4	7	29	54	6	32	116	2	1	37	2	0	21	7	15	3	4	7	803
n	0	0	0	2	2	0	0	20	3	0	2	0	0	0	0	1	0	0	0	1	1	0	2	0	1	2	3	0	3	15	0	0	0	0	0	2	0	0	1	0	0	40
n	0	0	1	7	9	0	0	17.2	29	0	13	0	0	0	0	11	0	0	10	9	7	6	13	2	12	13	14	9	10	13	0	2	5	0	0	12	0	0	2	0	3	258
n	0	0	3	21	9	0	0	25.875	9	0	16	1	2	0	0	8	0	0	10	8	1	5	2	0	0	11	8	7	4	39	0	2	5	1	0	14	1	4	2	0	2	207
n	4	0	0	12	7	0	1	21.818181818181817	27	6	12	0	0	0	0	3	0	0	5	5	3	4	8	3	1	14	11	2	10	52	4	0	7	0	0	17	2	4	1	0	2	240
n	4	0	3	35	26	0	0	22.714285714285715	70	10	35	3	0	0	0	2	0	3	32	16	7	5	8	8	2	17	18	10	17	87	4	1	7	0	2	33	8	10	4	3	6	477
n	0	73	5	56	52	3	0	23.288888888888888	96	7	23	4	1	0	0	0	0	3	37	10	6	4	18	0	9	20	62	12	33	90	0	0	45	11	0	32	16	2	2	2	9	1048
n	14	1	8	125	71	2	3	17.705263157894738	154	14	79	10	1	2	19	47	0	7	87	101	23	48	60	27	30	102	74	62	39	291	2	3	47	12	1	36	23	24	9	19	17	1682
n	6	0	0	30	28	3	0	22.347826086956523	42	5	16	0	2	0	1	16	0	3	30	9	6	5	9	6	4	15	25	8	22	128	0	3	16	2	1	16	5	5	7	0	3	514
n	6	0	1	21	15	0	0	33.111111111111114	36	4	19	1	0	1	0	9	0	4	13	11	2	12	5	0	2	12	14	4	12	61	0	0	6	1	1	7	4	4	3	4	3	298
n	0	0	1	8	3	0	0	20.125	24	0	9	0	1	0	0	3	0	2	8	7	1	5	3	1	2	12	6	5	4	27	0	0	0	0	0	5	1	0	1	1	2	161
n	8	0	5	72	49	1	1	30.652173913043477	43	3	47	2	0	8	3	20	0	10	35	24	6	12	27	5	18	37	40	9	28	131	6	5	36	10	1	28	19	18	5	3	4	705
n	11	0	2	41	28	0	0	22.6	29	8	17	1	0	1	1	15	0	1	22	12	5	7	5	2	1	19	23	7	17	87	4	2	11	10	0	20	6	5	3	2	7	452
n	13	8	3	68	38	1	1	25.86111111111111	98	2	34	4	2	0	0	7	0	2	44	34	15	32	25	8	14	53	62	38	42	220	3	0	24	6	1	26	8	9	9	3	5	931
n	0	0	0	29	16	1	0	23	12	2	10	2	1	1	1	5	0	5	7	12	4	10	4	3	0	13	5	4	4	22	5	3	12	2	0	1	0	1	1	1	1	207
n	3	0	3	34	32	0	0	30.133333333333333	34	2	36	4	1	1	2	20	0	3	22	22	10	17	5	7	5	34	38	15	16	91	6	1	27	5	0	13	2	11	4	3	3	452
