войны	війна	war	war	guerre	război
якобы	нібито	allegedly	allegedly	prétendument	se presupune că
так называемый 	так званий	so-called 	so-called 	soi-disant 	așa-numitul 
Националисты 	Націоналісти	Nationalists 	Nationalists 	Nationalistes 	naționaliști 
Нацисты 	Нацисти	Nazis 	Nazis 	Nazis 	naziști 
Фашисты	Фашисти	Fascists	Fascists	Fascistes	Fasciști
Цели специальной операции	Цілі спеціальної операції	The goals of the special operation	Targets of the special operation	Cibles de l'opération spéciale	Obiectivele operațiunii speciale
Азов	Азов	Azov	Azov	Azov	Azov
Бандера	Бандера	Bandera	Bandera	Bandera	Bandera
Бандеровцы	Бандерівці	Banderites	Banderites	Banderites	Banderites
Освободить 	Звільнити	Free 	Liberate 	Libérer 	Eliberați 
Истерика	Істерика	Hysteria	Hysteria	Hystérie	Isterie
Недружественные	Недружні	Unfriendly	Hostile 	Hostile	Neprietenos
Великая держава	велична держава	Great Power	Great Power	Grande puissance	Mare putere
Запад	Захід	West	West	Ouest	Vest
Фашизм	Фашизм	Fascism	Fascism	Fascisme	Fascism
Иностранный агент 	Іноземний агент	Foreign agent 	Foreign agent 	Agent étranger 	Agent străin 
Братске народы 	Братські народи	Brotherly nations	Brotherly nations	Des frères 	Națiuni frățești
Народ Донбасса 	Народ Донбасу	People of Donbass 	People of Donbass 	Les habitants du Donbass 	Poporul din Donbas
Русофобия 	Русофобія	Russophobia 	Russophobia 	Russophobie 	Rusofobie 
Русофобский	Русофобскій	Russophobic	Russophobic	Russophobe	Russofobie
Сорос	Сорос	Soros	Soros	Soros	Soros
Великая победа 	Велика перемога	Great Victory 	Great Victory 	Grande victoire 	Marea victorie 
Англосаксы	Англосакси	Anglo-Saxons	Anglo-Saxons	Anglo-Saxons	Anglo-saxonii
Великая Отечественная война	велика Вітчизняна війна	Great Patriotic War	Great Patriotic War	Grande guerre patriotique	Marele Război Patriotic
Внешнее управление 	Зовнішнє управління	External control 	External Governance 	Gouvernance externe 	Control extern 
