date	m.id	user	reply to	media	message
2022-03-03T16:51:23+00:00	3882	None	None	unknown	n/a
2022-03-03T16:51:23+00:00	3881	None	None	unknown	n/a
2022-03-03T16:51:23+00:00	3880	None	None	unknown	n/a
2022-03-03T16:51:23+00:00	3879	None	None	unknown	n/a
2022-03-03T16:51:23+00:00	3878	None	None	unknown	n/a
2022-03-03T16:51:23+00:00	3877	None	None	unknown	n/a
2022-03-03T16:51:23+00:00	3876	None	None	unknown	n/a
2022-03-03T16:51:23+00:00	3875	None	None	unknown	n/a
2022-03-03T16:51:22+00:00	3874	None	None	unknown	Документы военнослужащих РФ, погибших 27.02 в г. Буча, Киевской области. Полянский Иван Алексеевич 06.07.2001 г.р.Свердловская обл., г. Каменецк-УральскийИльин Александр Валерьевич 22.04.1998 г.р.Красноярский край, Большемуртинский р-н., пос. Большая МуртаЛоктев Максим Владимирович 29.09.2000 г.р. Ивановская обл., г. ПриволжскПодписаться | Бот для поиска своих
2022-03-03T16:46:06+00:00	3873	None	None	video/mp4	Трошки про реалії немитої
2022-03-03T16:44:11+00:00	3872	None	None	video/mp4	Привіт загарбникам з Одеси (на понятном языке):Вы рвали на себе рубахи и били в грудь, что нет войныВы нас пытались держать в страхе и нам казалось вы сильны.Но в сущности, пришла к нам ясность, что рейтинг армий мира вретИ в вашу «русскую опасность» больше не верит мой народ…#stoprussia#StopRussianAggression #RussiaInvadedUkraine https://t.me/operativnoZSU@operativnoZSU
2022-03-03T16:39:12+00:00	3871	None	None	video/mp4	Перед початком опери Джузеппе Верді "Дон Карлос" зал Метрополітен-опера у Нью-Йорку  вшанував пам'ять безневинних жертв російської агресії хвилиною мовчання. А потім прозвучав Гімн України, який публіка слухала стоячи.Дякуємо за підтримку🙏#світзукраїною
2022-03-03T16:35:01+00:00	3870	None	None	unknown	n/a
2022-03-03T16:35:01+00:00	3869	None	None	unknown	Славетні воїни української протиповітряної оборони (ППО) збили ракету РФ.Видубичі, Київ
2022-03-03T16:34:46+00:00	3868	None	None	no	🔥 Обращение воюющей Украины к народам России 🔥Народы России! Империя рухнет – сможете ли вы создать на её трупе свои свободные государства или окажитесь под обломками – зависит исключительно от вас.План Путина захватить Украину за 2 дня целиком и полностью провалился. Русские не смогли захватить ни одного крупного города. Харьков, Мариуполь, Киев, Одеса – все без исключения большие города под контролем Украины. Враг терпит потери на всех фронтах.Татарстан и Башкортостан, Чечня и Дагестан, Ингушетия и Черкессия, Саха-Якутия и Хакассия, Калмыкия и Бурятия, Эрзян Мастор и Марий Эл, Удмуртия и Карелия! Сегодня вы получили шанс на свободу, которого не было у ваших отцов и дедов. Шанс, которого не будет у ваших детей и внуков. Поднимайте революции с целью захвата власти в ваших республиках. Разоружайте ФСБ, МВД и полицию. Не бойтесь, у Москвы нет больших ресурсов, которые они могли бы кинуть против вас. Украинцы вынесут всю тяжесть вашей революционной борьбы на своих плечах. Мы оттянем на себя столько сил и средств врага, сколько будет необходимо для полного освобождения ваших республик!Уже в ближайшие часы вы узнаете о реальных масштабах потерь русских оккупантов в Украине. Вам могут рассказывать что-угодно по телевизору, но реальное положение дел такое – окрестности Киева, Харькова, Василькова, Херсона, Мариуполя и других городов усеяны трупами русских оккупантов. У солдат ВС РФ нет средств связи с родными. Поэтому родные узнают об их уничтожении с большой задержкой.🔥 Рухнет не путинский режим. Рухнет Россия! Все, кто мечтал о свободе – к борьбе! За нашу и вашу свободу!@informnapalm
2022-03-03T16:25:39+00:00	3867	None	None	unknown	Друзі, сьогодні в коментарях почалась масована бот-атака на наш канал, тому ми тимчасово вимкнули коментарі, щоб російські боти не могли спамити і вводити в оману нібито у нас інший чат каналу.Поки лишаємо публікації з реакціями без обговорення. Дякуємо, що читаєте @informnapalm.Слава Україні!
2022-03-03T14:24:23+00:00	3865	None	None	no	Вдовы (новая рубрика) OSINT-расследователя @informnapalm Ираклия Комахидзе."На основании списка ликвидированных в городе Буча русских оккупантов, опубликованного на ресурсе "Ищи своих" (https://t.me/rf200_now1/405) удалось установить как самого 200-го десантника-контрактника Алексея Жарана, так и членов его семьи из Пскова- жену Татьяну Филатову (https://ok.ru/profile/568799470713, https://vk.com/id61670031) "
2022-03-03T13:43:44+00:00	3864	None	None	unknown	ВАЖНО! ОЧЕНЬ ВАЖНО! Прошу донести эту информацию до тысяч несчастных матерей, российских, сыновья которых попали в плен в Украине. Принято решение отдавать пленных российских солдат их матерям, если они приедут за ними в Украину, в Киев. Что нужно сделать, чтоб вернуть своего сына из плена?  1. Нужно позвонить на номера  телефона, указанные в листовке. Чтобы узнать, находится Ваш сын в плену или погиб, необходимо зайти в телеграмм канал Ищи своих  https://t.me/rf200_nowИли позвонить на горячую телефонную линию Министерства Обороны Украины - «Вернись живым из Украины» на многоканальные телефоны. +380894201860+380894201861+380894201862Или написать на почту : Vernis_iz_ukraine@gmail.com2. Затем, если Вы получили подтверждение, что Ваш сын находится у нас в плену,  мамы русских солдат должны добраться до Киева. После вторжения фашисткой армии Путина и закрытия воздушного пространства, это можно сделать только таким способом: Добирайтесь до Калининграда или Минска. Оттуда автобусами или на такси к Польской границе. Затем через территорию Польши нужно будет добраться до КПП с Украиной.Там Вас встретят и сопроводят в Киев, где передадут Вам Вашего сына. Мы, Украинцы, в отличие от Путинских фашистов, не воюем с матерями и их пленными детьми. Ждём Вас в Киеве!МАКСИМАЛЬНОЕ РАСПРОСТРАНЕНИЕ ПО РФ!Подписаться | Бот для поиска своих
2022-03-03T13:42:16+00:00	3863	None	None	video/mp4	Телефонный разговор военнопленного со своими близкими.Подписаться | Бот поиска
2022-03-03T13:38:55+00:00	3862	None	None	unknown	Знищений міст біля Калинівки та Т-72Б3 військових ЗС РФ.Світлиною поділився голова Миколаївської ОВА Віталій Кім на офіційній сторінці у телеграмі.Додаткові деталі поширив Мілітарний.
2022-03-03T13:35:05+00:00	3861	None	None	video/mp4	Група "Z". Військові ЗС РФ дзвонять з полону...@informnapalm
2022-03-03T13:22:49+00:00	3860	None	None	video/mp4	У Білорусі помічено пересування техніки ЗС РБ із розпізнавальним знаком — червоний прямокутник.Колону помітили сьогодні о 9:54 (мінський час) на трасі М-10 у бік Пінська неподалік Дрогичина (Брестська область). Це 38-а артилерійська бригада ЗС РБ. У супроводі — військові МАЗи, радіостанції на шасі ГАЗ-66, три одиниці МБТС «Кайман», «Волати» з 122 мм нарізними мінометами «Нона». Пізнавальний знак - червоний прямокутник на борту🟥
