labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok	war	allegedly	so-called 	nationalists 	nazis 	fascists	the goals of the special operation	azov	bandera	banderites	free 	hysteria	unfriendly	great power	west	fascism	foreign agent 	brotherly nations	people of donbass 	russophobia 	russophobic	soros	great victory 	anglo-saxons	great patriotic war	external control 	spiritual scrapes 	denacification 	deukrainianization	demilitarization 	kiev regime 	special operation 	on ukraine	in ukraine	in donbass 	junta	kiev regime 	coup d'etat	reunification of crimea and sevastopol with russia 	return of crimea	civil war	ukraine border with the crimea	export of ukraine with crimea 	dnr	lnr	people's republics of donbass	self-proclaimed republics	borders of lnr/dnr	russian volunteers	self-defense	militia 	retirees	vacationers	novorossiya	southeast ukraine	southeast ukraine	baltic countries	belarus	belorussia	old russian	post-soviet space	near abroad 	color revolution 	ukrainian crisis	internal conflict in ukraine 	ukrainian-russian conflict 	armed formations of ukraine 	punishers 	kiev army 	republic of crimea	aggression of ukraine against donbass	genocide of the inhabitants of donbass 	8 years	russian spring	declaration of will of the people 	crimean referendum 	the polite men 	crimean blockade	crimean bridge 	special status of donbass 	people of donbass 	people's militia	forced migrants	blockage of supplies 	national battalion 	ukrainian nationalist paramilitaries 	demarcation line 	buffer zone 	russian world	orthodox world	prednestrovian moldavian republic 	republic of abkhazia 	south ossetia 	russcists	rashism	attack	invasion	russia's war against ukraine	deceased	fake	rape	looting	victims	arms deliveries	children	refugees	europe	war crimes	genocide 	pumping	pump	negotiations	sanctions 	embargo	kremlin 	kremlin regime	text
rt.tsv	16	0	0	0	0	2	0	47.142857142857146	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	88	3	0	0	0	0	0	0	0	0	0	0	330	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Beijing says the US provoked Moscow by not ruling out NATO membership for Kiev  China’s Foreign Ministry spokesperson Wang Wenbin has condemned the “fake” and “very despicable” suggestion that Beijing asked Russia to delay its invasion of Ukraine until after the 2022 Winter Olympics had finished.  Speaking at a daily briefing on Thursday, Wang told reporters that the allegation in the New York Times newspaper “is purely fake news, and such behaviors of diverting attention and shifting blame are very despicable.” He reiterated the country’s claim that the US provoked Russia by not ruling out NATO membership for Ukraine.  The report in the New York Times quoted a Western intelligence report as saying senior Chinese officials told senior Russian officials to not invade Ukraine until the international sporting event in Beijing had concluded.  The article claims the “report indicates that senior Chinese officials had some level of direct knowledge about Russia’s war plans or intentions before the invasion started.”  Ahead of the Winter Olympics, Russian President Vladimir Putin and Chinese President Xi Jinping met, issuing a joint statement to declare that the “friendship between the two states has no limits,” adding that “there are no ‘forbidden’ areas of cooperation.”  China was one of 35 nations that abstained from a vote of the UN General Assembly on Wednesday, which saw 141 nations condemn Russia’s invasion of Ukraine, while only five members, including Moscow, rejected the resolution.  “Regrettably, the draft resolution submitted to the General Assembly emergency special session for vote had not undergone full consultations with the whole membership, nor does it take into consideration the history and the complexity of the current crisis,” Wang told reporters, explaining China’s decision to abstain.
rt.tsv	1	2	0	0	0	0	0	30.22222222222222	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	272	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	Bids remained for supplies in both directions  Westbound gas flows from Russia to Germany via the Yamal-Europe pipeline stopped on Thursday, while bids remained for supplies in both directions, according to data tracked by the pipeline operator Gascade.  According to the operator, westbound gas supplies had been mostly at about 17.5 million kWh/h at Mallnow metering point for some 10 hours before the stoppage.  The data also showed preliminary bids of 6.4 million kWh/h for the next 24 hours for westbound supplies, with bids for eastbound flows of 6.1 million kWh/h.  Gazprom said on Thursday it was shipping gas to Europe via Ukraine in line with customers’ requests.  In December, the German-Polish section of the pipeline switched into reverse – eastbound – mode as buyers in Poland drew on stored supplies from Germany rather than buying more Russian gas at the spot market where the prices recorded all-time highs nearly every day. Western media at the time accused Russia’s Gazprom of deliberately cutting European supplies.  The Russian state-controlled energy giant has intermittently sent gas westward via the link in recent days amid high demand in Europe. The company has also increased supplies to the continent via Ukraine.  Russia covers nearly 40% of European gas demand with the Yamal-Europe route accounting for nearly 15% of the country’s westbound supply.  For more stories on economy & finance visit RT's business section
rt.tsv	0	0	2	2	0	0	0	34.95454545454545	13	2	1	0	0	2	5	14	0	0	11	0	0	1	0	0	0	1	2	0	0	212	5	0	0	0	0	0	0	0	0	0	0	769	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	The Russian Football Union will appeal the recent bans imposed by FIFA and UEFA  The Russian Football Union (RFU) has announced it will appeal suspensions imposed by governing bodies FIFA and UEFA, which have indefinitely removed the Russian national team from international competition as well as banning Russian clubs from taking part in European competitions.  The FIFA and UEFA measures were implemented after several individual nations including Poland – which was due to play a pivotal World Cup qualification match against Russia later this month in Moscow – announced that they would refuse to play against a Russian team under any circumstances, even if they were competing under a neutral flag.  This came in step with sweeping punishments levied against Russian and Belarusian athletes after the International Olympic Committee (IOC) had recommended a ban on all sportspeople from the two countries because of the war in Ukraine.  However, on Thursday the RFU revealed that it is taking the case to the Court of Arbitration for Sport (CAS) in Switzerland, demanding the reinstatement of Russian teams into international and club competition, and arguing that it violates the rights of players.  The organization is also requesting that financial damages be paid and argues that the decision was made following pressure from Russia's sporting rivals.  РФС подаст апелляцию в САS на решения ФИФА и УЕФА отстранить сборные России от участия в международных соревнованиях: https://t.co/4ieSg5kxLPpic.twitter.com/v1O6asXPOI — РФС (@rfsruofficial) March 3, 2022  "As part of a single lawsuit against two organizations, the RFU will demand the restoration of all men's and women's national teams of Russia in all types of football in the tournaments in which they took part (including in the qualifying round of the World Cup in Qatar), as well as compensation for damage, if any will be installed," the RFU said in a statement.  "In order to ensure the possibility of the participation of Russian teams in the next scheduled matches, the RFU will insist on an expedited procedure for considering the case.  "If FIFA and UEFA refuse such a procedure, a requirement will be put forward for the introduction of interim measures in the form of suspension of FIFA and UEFA decisions, as well as competitions in which Russian teams were supposed to participate.  "The RFU believes that FIFA and UEFA did not have a legal basis when deciding on the removal of Russian teams. It violated the fundamental rights of the RFU as a member of FIFA and UEFA, including the right to take part in competitions," the statement added.  "In addition, the decision to withdraw the [men's] national team from qualification for the 2022 World Cup was made under pressure from direct rivals in the play-offs, which violated the principle of sports and the rules of fair play.  "The Russian Football Union was also not given the right to present its position, which violated the fundamental right to defense. In addition, when making decisions, FIFA and UEFA did not take into account other possible options for action, except for the complete exclusion of participants from the competition from Russia.  "Other details of filing an appeal, including the timing of the consideration of the claim, will be announced later."  The comments from the RFU mirror somewhat those expressed by former Russia captain Artem Dzyuba on Wednesday, who broke his silence on the war as well as the sporting sanctions imposed on his country.  "I am against discrimination based on your nationality. I am not ashamed to be Russian. I am proud to be Russian. I don't understand why athletes have to suffer now," wrote Dzyuba online.  "I am against double standards. Why are some allowed everything, but we are blamed for everything? Why does everyone always say that sport is apolitical, but with the first opportunity, when it concerns Russia, this principle is absolutely forgotten?"  In addition to the punishments taken by FIFA and UEFA, the governing bodies of the Paralympics and various others have announced steps designed to bring Russian sport to an international standstill.
rt.tsv	18	0	1	0	0	1	0	47.714285714285715	0	0	0	0	0	0	3	8	3	1	8	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	334	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	3	0	3	0	The European Commission will send Kiev €500 million in humanitarian assistance  Speaking at a press conference on Thursday with Romania’s president, European Commission President Ursula von der Leyen redeclared the European Union’s support for Ukraine’s membership application.  “There is no doubt that these brave people who defend our values with their lives belong in the European family,” von der Leyen told reporters, outlining the support the EU will provide Kiev amid the ongoing conflict in Ukraine.  Declaring that it is “our duty as Europeans” to provide support “in times of war,” von der Leyen announced a “civil protection hub for Ukraine” will be based in Romania and “at least €500 million” ($554.40 million) in humanitarian assistance be sent to Kiev.  Romanian President Klaus Iohannis revealed he had discussed with von der Leyen about the need to increase support for countries that are “currently dealing with a large number of Ukrainian refugees.”  Iohannis and von der Leyen did not specify where exactly the new hub will be established, but the pair expected it would be required, fearing the conflict in Ukraine will escalate.  “We are in this together and we will accompany Ukraine in this process with determination, with unity and with solidarity,” von der Leyen stated, citing how the EU plans to connect the slavic nation to the European electricity grid.  During their joint press conference, the pair reaffirmed the importance of continuing to impose sanctions on Russia amid the conflict in Ukraine.  The European Commission president was clear that the EU’s intention was to “cut off the Kremlin’s capacity to wage war on its neighbors,” warning “additional steps” might be required if the situation in Ukraine deteriorates further.
rt.tsv	8	0	1	0	0	0	0	26.428571428571427	1	0	0	1	0	0	3	7	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	9	0	0	0	Washington succeeded in bending Europe to its will, Russia's top diplomat said  Washington has succeeded where Europe-conquering dictators of the past have failed, as evidenced by its ability to bend the policies of European governments to its will, Russian Foreign Minister Sergey Lavrov alleged on Thursday.  “I can't help but make these comparisons. In the past, Napoleon and Hitler had the goal to subjugate Europe. Now the Americans have subjugated it,” he remarked.  As an example of Washington deciding “what's best” for Europe, Lavrov mentioned the lengthy American campaign to torpedo the Nord Stream 2 gas pipeline. Berlin suspended certification of the fully-completed project as part of anti-Russian sanctions over Moscow’s attack on Ukraine.  Washington has been trying to stop the project for years, claiming it undermined European energy safety and suggesting that deliveries of American liquified natural gas were a more preferable option, despite its greater price, the Russian minister pointed out.  “The European Union has been shown its place. The Nord Stream 2 story has shown perfectly the real place that the EU has on the world stage,” Lavrov asserted.  Lavrov was speaking amid the worst escalation of tensions between Russia and Western nations that the world has seen in decades. Moscow launched an offensive against Ukraine last week, calling it a necessary step to push NATO out of its neighbor and secure Russian national security.  The US and its allies called the invasion an unprovoked act of aggression and imposed harsh sanctions, which are aimed at crippling the Russian economy. Europeans are set to pay a price for the sanctions, with rising energy costs driving inflation up, EU officials predict.  The top Russian diplomat remarked that the Western narrative about the conflict resembled a Hollywood film about an epic battle of absolute good versus absolute evil, with the part of the good “embodied in the character, who is also the script writer.”
rt.tsv	3	1	0	0	0	1	0	28.6	2	0	0	0	0	0	0	4	0	1	8	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	15	0	0	0	Dmitry Rogozin, the Russian space agency chief, has said Western sanctions have imposed constraints in some areas  Roscosmos will prioritize the development of satellites for defense purposes in light of Western sanctions, Russia’s space agency chief revealed on Thursday.  Speaking to Russia’s Rossiya 24 TV channel, Dmitry Rogozin said that Roscosmos’ operations would have to be adjusted in response to new challenges posed by Western sanctions. The official also stressed that all the existing plans in the short- and mid-term would be fulfilled as the necessary electronic components are produced in Russia.  Earlier on Thursday, Rogozin revealed that he had ordered his own salary to be slashed by 30%, with pay cuts affecting other top managers as well. However, despite external pressure, Russia’s space agency is going to raise some of its staff’s salaries.  The head of Roscosmos also announced the end of cooperation with Germany in relation to joint experiments on board the ISS.  Rogozin previously posted a string of tweets commenting on Western sanctions against Russia’s space program. Among other things, the official said that Roscosmos would now be aiming for self-sufficiency.  Rogozin went on to ask the US how they were going to cope with the ISS maintenance should they sever ties with Russia in this sphere.  NASA, in turn, reiterated that it was staying in touch with Roscosmos to keep the International Space Station operational.  Among some of the other counter-measures in response to Western sanctions that the Roscosmos chief announced was the decision to no longer supply spacecraft engines to the US, which are used in Atlas-5 and Antares rockets.  Since Russia launched its military offensive against Ukraine on February 24, President Joe Biden has vowed to cut exports of high-tech equipment and components by half.  Explaining the need to take military action against Ukraine, Russian President Vladimir Putin cited the rise of neo-Nazi forces there, as well as NATO’s supposed plans to allow the country to join the military alliance. Putin also claimed that the Ukrainian government had been conducting a genocide of Russian-speaking residents in the Donbass republics. Kiev and its Western allies insist that this is simply being used as a pretext for waging an “unprovoked” attack on Ukraine.
rt.tsv	16	0	0	0	0	0	0	38.77777777777778	0	2	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	73	3	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	The platform has been accused of spreading “disinformation” about Russia’s military attack on Ukraine  One of Moscow’s most popular liberal media outlets will be shut, its board of directors has decided, after authorities restricted the broadcaster due to its coverage of Russia’s invasion of Ukraine.  Echo of Moscow’s Editor-in-Chief Alexey Venediktov announced in a statement on Thursday that the agency’s radio platform and website will cease to exist, following a “majority vote.”  It comes after Russia’s General Prosecutor’s office ordered media regulator Roskomnadzor to block access to the outlet’s radio station. Echo of Moscow is indirectly state-owned due to its connections with the Gazprom media conglomerate.  The outlet stands accused of calling for “extremism” and of spreading “false information about the actions of the Russian military in Ukraine.”  Venediktov first hit out at the decision, insisting that the allegations “are not supported by any examples or evidence.” He also vowed to challenge the order in court, arguing that the outlet sees a “political component [in this], as well as the introduction of censorship, which is directly prohibited by the Constitution of the Russian Federation.”  In the wake of Moscow’s military invasion of Ukraine, Roskomnadzor also called for restrictions on TV-channel Rain for its reporting of the operation. The outlet had been labeled as a foreign agent in Russia due to its links to overseas funding.  Russian President Vladimir Putin ordered the attack on Ukraine last Thursday after the leaders of the recently recognized breakaway Donetsk and Lugansk People’s Republics appealed for assistance in relation to what they claim was increasing “aggression” from Kiev’s armed forces. The offensive is designed to cripple the Eastern European nation’s military and remove what the Kremlin describes as “nazi” elements.
rt.tsv	2	0	0	0	0	2	2	32.57142857142857	0	0	0	2	1	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	France to scrap health-certificate and face-mask requirement for attending public venues from March 14  Starting March 14, people in France will no longer need to present a Covid-19 passport to attend indoor public venues, French Prime Minister Jean Castex announced on Thursday in an interview with TF1.  The head of the French cabinet said the situation with the pandemic was improving “thanks to our collective efforts,” allowing the country to lift some restrictions.  Face masks will no longer be mandatory in less than two weeks in France, except for passengers on public transport, the official said.  Elderly people will still need to show proof of vaccination to access elderly home care, Castex said, while caregivers will have to be vaccinated to work there.  In the same interview, the prime minister discussed details of the plan to cope with the fallout from the Russian military action in Ukraine and Western sanctions imposed in retaliation.  President Emmanuel Macron on Wednesday announced that the country will take steps to make its economy more resilient, as he delivered a speech to the nation. He said he will work to protect France’s most vulnerable industries by finding new supply routes and markets for them.
rt.tsv	12	0	0	0	0	1	0	28.842105263157894	2	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	122	1	0	0	0	0	0	0	0	0	0	0	548	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	Moscow has described the IAEA leadership’s stance as politicized and factually incorrect  In a resolution passed on Thursday by its board of directors, the International Atomic Energy Agency (IAEA) reportedly “deplored” Moscow’s invasion of Ukraine. Russia has denounced the document, calling it politicized and factually incorrect.  The resolution, which is yet to be published, apparently calls on Russia to allow the Ukrainian authorities to resume control of its nuclear sites. Moscow says the assertion that they are not already in control is incorrect.  There were claims that Russian troops had occupied the site of the destroyed Chernobyl nuclear power plant as they moved from Belarus towards Kiev. The Russian Defense Ministry has denied them, stating that Ukrainian guards remained in control of the facility.  On March 1, Reuters gave a preview of the draft of the damning resolution, which was penned by Poland and Canada on behalf of Ukraine.  The news of the resolution’s passage, with just two votes having been cast against it at the session of the 35-member board, was welcomed by Ukraine. Foreign Minister Dmytro Kuleba claimed in a tweet that it showed the world was “united against Russia’s actions, which threaten Ukraine and all of Europe.”  Russia’s representative at the IAEA, Mikhail Ulyanov, blasted the document, claiming it contained “intentional politically motivated lies and mistakes.” In particular, the assertion that the Ukrainian authorities were not in control of the nation’s nuclear sites was wrong, the official said in a series of tweets.  The #IAEA BoG res.calls upon RF to create conditions for the competent Ukrainian authorities to regain full control over nuclear facilities. There is nothing to regain b/c these authorities exercise control in full. The sponsors of the Res.are either ignorant or lie intentionally — Mikhail Ulyanov (@Amb_Ulyanov) March 3, 2022  Moscow was satisfied that “countries whose populations taken together exceed a half of the mankind refused to support the resolution,” Ulyanov added.  China has confirmed that it voted against the resolution. Its representative, Wang Qun, said the document “obviously” overstepped the agency’s mandate to monitor nuclear security, and that by adopting the resolution, it had undermined the IAEA’s position as a professional, non-political organization.  1/4 At today's #IAEA BoG meeting, China voted against Canada and Poland’s resolution on safety, security & safeguards implications of situation in #Ukraine. Amb. WANG Qun made an explanatory statement after the vote. https://t.co/i4lipTsEVnpic.twitter.com/FjjSonzIRK — Permanent Mission of China in Vienna (@ChinaMissionVie) March 3, 2022  The diplomat complained that some nations had “forcibly pushed” the draft and rejected suggestions submitted by other board members about how to improve the document.  Earlier on Thursday, IAEA Director General Rafael Mariano Grossi confirmed to journalists that all safety precautions the agency had taken in Ukraine remained intact.
rt.tsv	19	0	1	0	0	0	0	45	9	0	0	0	0	0	0	5	0	1	3	0	0	0	0	0	0	2	0	0	0	121	2	0	0	0	0	0	0	0	0	0	0	495	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	Russian Sports Minister Oleg Matytsin has condemned efforts to cut off the country  Russian Sports Minister Oleg Matytsin has said the country is not isolated despite a series of “unacceptable” sanctions from various federations, and that officials would work on developing competitions in Russia which invite international athletes.  Russia was hit was another sporting ban on Thursday when the International Paralympic Committee (IPC) announced that Russian and Belarusian athletes would be barred from the 2022 Beijing Winter Games, despite clearing them to compete as neutrals just one day previously.  The IPC had resisted an earlier recommendation from the International Olympic Committee (IOC) to bar all Russian and Belarusian athletes from global competitions, but relented after coming under the threat of boycotts from rival nations while also citing the “influence of governments” as it announced the ban.  Hitting back, Russian Sports Minister Matytsin said Russia was not fully isolated despite the best efforts of some federations.  “In the near future, a program will be developed for a system of competitions on the territory of the Russian Federation with the participation of the maximum number of foreign athletes,” said Matytsin, according to TASS.  “First of all, Belarusian athletes, [and] a system of competitions with the CIS [Commonwealth of Independent States], SOC [Shanghai Cooperation Organization], and BRICS [Brazil, Russia, India, China, South Africa].  “We are not isolated, we continue contact with international federations. We hope that these are temporary measures and that reason will prevail, and the entire international community will understand that the split that is happening now is unacceptable.  “Sport should act as one of the conductors of diplomacy and the restoration of human values,” Matytsin added.  Elsewhere, the Russian Olympic Committee (ROC) issued its response to the recent swathe of sporting sanctions, stressing that the bans “grossly violate the principles of the International Olympic Movement.”  “Russian athletes are discriminated against on the basis of nationality and citizenship… Paradoxically, the IOC, in its decision of February 28, 2022, explicitly stated that the punishment of innocent athletes is unfair and that the IOC allegedly stands for fair competition without any discrimination,” the statement read.  “As a result of the decisions taken, thousands of Russian athletes are currently deprived of the opportunity to participate in international competitions simply because they are citizens of the Russian Federation.”  The ROC’s Athletes’ Commission has gone as far as to call the anti-Russian sanctions a “sporting genocide” against sportsmen and women from the country.
